state,state_fips,county_fips,county_name
VA,51,51177,Spotsylvania County
VA,51,51179,Stafford County
VA,51,51181,Surry County
VA,51,51183,Sussex County
VA,51,51185,Tazewell County
VA,51,51187,Warren County
VA,51,51191,Washington County
VA,51,51193,Westmoreland County
VA,51,51195,Wise County
VA,51,51197,Wythe County
VA,51,51199,York County
VA,51,51510,Alexandria city
VA,51,51520,Bristol city
VA,51,51530,Buena Vista city
VA,51,51540,Charlottesville city
VA,51,51550,Chesapeake city
VA,51,51570,Colonial Heights city
VA,51,51580,Covington city
VA,51,51590,Danville city
VA,51,51595,Emporia city
VA,51,51600,Fairfax city
VA,51,51610,Falls Church city
VA,51,51620,Franklin city
VA,51,51630,Fredericksburg city
VA,51,51640,Galax city
VA,51,51650,Hampton city
VA,51,51660,Harrisonburg city
VA,51,51670,Hopewell city
VA,51,51678,Lexington city
VA,51,51680,Lynchburg city
VA,51,51683,Manassas city
VA,51,51685,Manassas Park city
VA,51,51690,Martinsville city
VA,51,51700,Newport News city
VA,51,51710,Norfolk city
VA,51,51720,Norton city
VA,51,51730,Petersburg city
VA,51,51735,Poquoson city
VA,51,51740,Portsmouth city
VA,51,51750,Radford city
VA,51,51760,Richmond city
VA,51,51770,Roanoke city
VA,51,51775,Salem city
VA,51,51790,Staunton city
VA,51,51800,Suffolk city
VA,51,51810,Virginia Beach city
VA,51,51820,Waynesboro city
VA,51,51830,Williamsburg city
VA,51,51840,Winchester city
